Id,Label,timeset,componentnumber,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,clustering,triangles
151410876,151410876,,10291,0,0,0,0,0,0,0,0,0
151410882,151410882,,10292,0,0,0,0,0,0,0,0,0
151410881,151410881,,10292,0,0,0,0,0,0,0,0,0
151410892,151410892,,10293,0,0,0,0,0,0,0,0,0
151410891,151410891,,10293,0,0,0,0,0,0,0,0,0
151410893,151410893,,10293,0,0,0,0,0,0,0,0,0
151410898,151410898,,1142,0,0,0,0,0,0,0,0,0
151410899,151410899,,1142,0,0,0,0,0,0,0,0,0
151410902,151410902,,10294,0,0,0,0,0,0,0,0,0
151410901,151410901,,10294,0,0,0,0,0,0,0,0,0
151410977,151410977,,10295,0,0,0,0,0,0,0,0,0
151410976,151410976,,10295,0,0,0,0,0,0,0,0,0
151411001,151411001,,0,2,38,0.055439,0.058686,0,0.000028,14,1,1
151411004,151411004,,0,3,38,0.05544,0.058709,21986,0.000044,14,0.333333,1
151411022,151411022,,10296,0,0,0,0,0,0,0,0,0
151411021,151411021,,10296,0,0,0,0,0,0,0,0,0
151411032,151411032,,10297,0,0,0,0,0,0,0,0,0
151411031,151411031,,10297,0,0,0,0,0,0,0,0,0
151411033,151411033,,10297,0,0,0,0,0,0,0,0,0
151411037,151411037,,10298,0,0,0,0,0,0,0,0,0
151411036,151411036,,10298,0,0,0,0,0,0,0,0,0
151411052,151411052,,1052,0,0,0,0,0,0,0,0,0
151411051,151411051,,1052,0,0,0,0,0,0,0,0,0
151411057,151411057,,10299,0,0,0,0,0,0,0,0,0
151411056,151411056,,10299,0,0,0,0,0,0,0,0,0
151411087,151411087,,10300,0,0,0,0,0,0,0,0,0
151411085,151411085,,10300,0,0,0,0,0,0,0,0,0
151411096,151411096,,0,3,42,0.053786,0.056505,0,0.00004,58,1,3
151411098,151411098,,0,3,42,0.053786,0.056505,0,0.00004,58,1,3
151411099,151411099,,0,3,42,0.053786,0.056505,0,0.00004,58,1,3
151411112,151411112,,10301,0,0,0,0,0,0,0,0,0
151411111,151411111,,10301,0,0,0,0,0,0,0,0,0
151411127,151411127,,10302,0,0,0,0,0,0,0,0,0
151411126,151411126,,10302,0,0,0,0,0,0,0,0,0
151411132,151411132,,10303,0,0,0,0,0,0,0,0,0
151411131,151411131,,10303,0,0,0,0,0,0,0,0,0
151411142,151411142,,10304,0,0,0,0,0,0,0,0,0
151411141,151411141,,10304,0,0,0,0,0,0,0,0,0
151411152,151411152,,0,2,43,0.049689,0.051833,0,0.000033,146,1,1
151411151,151411151,,0,3,42,0.052287,0.054854,10992.5,0.000047,146,0.666667,2
151411153,151411153,,0,3,42,0.052287,0.054854,10992.5,0.000047,146,0.666667,2
151411182,151411182,,5421,0,0,0,0,0,0,0,0,0
151411181,151411181,,5421,0,0,0,0,0,0,0,0,0
151411202,151411202,,8179,0,0,0,0,0,0,0,0,0
151411201,151411201,,8179,0,0,0,0,0,0,0,0,0
151414859,151414859,,8179,0,0,0,0,0,0,0,0,0
151411212,151411212,,69,0,0,0,0,0,0,0,0,0
151380652,151380652,,69,0,0,0,0,0,0,0,0,0
151411272,151411272,,10305,0,0,0,0,0,0,0,0,0
151411271,151411271,,10305,0,0,0,0,0,0,0,0,0
151411322,151411322,,10306,0,0,0,0,0,0,0,0,0
151411321,151411321,,10306,0,0,0,0,0,0,0,0,0
151411332,151411332,,10307,0,0,0,0,0,0,0,0,0
151411330,151411330,,10307,0,0,0,0,0,0,0,0,0
151411333,151411333,,10307,0,0,0,0,0,0,0,0,0
151411346,151411346,,0,1,47,0.045385,0.047254,0,0.000021,143,0,0
151411362,151411362,,10308,0,0,0,0,0,0,0,0,0
151411361,151411361,,10308,0,0,0,0,0,0,0,0,0
151411377,151411377,,5146,0,0,0,0,0,0,0,0,0
151411376,151411376,,5146,0,0,0,0,0,0,0,0,0
151411378,151411378,,5146,0,0,0,0,0,0,0,0,0
151411379,151411379,,5146,0,0,0,0,0,0,0,0,0
151411396,151411396,,0,1,42,0.059283,0.062816,0,0.000021,141,0,0
151428898,151428898,,0,4,43,0.056977,0.06028,65952,0.000054,129,0.5,3
151411422,151411422,,10309,0,0,0,0,0,0,0,0,0
151411421,151411421,,10309,0,0,0,0,0,0,0,0,0
151411432,151411432,,10310,0,0,0,0,0,0,0,0,0
151411431,151411431,,10310,0,0,0,0,0,0,0,0,0
151411437,151411437,,10311,0,0,0,0,0,0,0,0,0
151411436,151411436,,10311,0,0,0,0,0,0,0,0,0
151411452,151411452,,10312,0,0,0,0,0,0,0,0,0
151411451,151411451,,10312,0,0,0,0,0,0,0,0,0
151411471,151411471,,0,2,42,0.056619,0.059459,0,0.000031,38,1,1
151411473,151411473,,0,2,42,0.056619,0.059459,0,0.000031,38,1,1
151411477,151411477,,10313,0,0,0,0,0,0,0,0,0
151411476,151411476,,10313,0,0,0,0,0,0,0,0,0
151411487,151411487,,10314,0,0,0,0,0,0,0,0,0
151411486,151411486,,10314,0,0,0,0,0,0,0,0,0
151411537,151411537,,10315,0,0,0,0,0,0,0,0,0
151411536,151411536,,10315,0,0,0,0,0,0,0,0,0
151411597,151411597,,10316,0,0,0,0,0,0,0,0,0
151411596,151411596,,10316,0,0,0,0,0,0,0,0,0
151411617,151411617,,10317,0,0,0,0,0,0,0,0,0
